Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
M7,Motor_Servo,PinSocket_1x03_P2.54mm_Vertical,156.05,-126.04,0.0,top
M8,Motor_Servo,PinSocket_1x03_P2.54mm_Vertical,159.6,-126.04,0.0,top
Q1,Si7617DN,Vishay_PowerPAK_1212-8_Single,157.99,-103.065,180.0,bottom
R1,10k,R_0603_1608Metric,143.160627,-59.905825,180.0,bottom
R10,1M,R_0603_1608Metric,165.5,-85.5,180.0,bottom
R11,75,R_0603_1608Metric,149.740475,-110.25,270.0,bottom
R12,4.7k,R_0603_1608Metric,145.75,-59.325,-90.0,top
R13,4.7k,R_0603_1608Metric,143.75,-59.325,-90.0,top
R14,1k,R_0603_1608Metric,152.75,-81.25,180.0,top
R15,1k,R_0603_1608Metric,143.175,-80.25,0.0,top
R16,1k,R_0603_1608Metric,146.325,-80.25,180.0,top
R17,1k,R_0603_1608Metric,151.75,-74.0,0.0,bottom
R18,1k,R_0603_1608Metric,151.75,-72.05,0.0,bottom
R19,1k,R_0603_1608Metric,143.19168,-83.75,180.0,top
R2,1M,R_0603_1608Metric,153.177682,-103.779785,270.0,bottom
R20,10k,R_0603_1608Metric,136.075,-95.6,90.0,top
R21,10k,R_0603_1608Metric,136.075,-102.625,90.0,top
R22,300,R_0603_1608Metric,130.425,-86.5,0.0,bottom
R23,86.6k,R_0603_1608Metric,134.325,-95.6,-90.0,top
R24,86.6k,R_0603_1608Metric,134.325,-102.625,-90.0,top
R25,300,R_0603_1608Metric,130.5,-88.25,0.0,bottom
R26,30k,R_0603_1608Metric,151.55,-115.0,90.0,bottom
R27,47,R_0603_1608Metric,138.575,-99.499992,0.0,top
R28,47,R_0603_1608Metric,138.65,-106.5,0.0,top
R29,1k,R_0603_1608Metric,143.325,-95.099992,-90.0,top
R3,5.1k,R_0603_1608Metric,158.2,-81.55,90.0,top
R30,1k,R_0603_1608Metric,143.325,-102.024992,-90.0,top
R31,470,R_0603_1608Metric,142.75,-99.499992,180.0,top
R32,470,R_0603_1608Metric,141.825,-106.524992,180.0,top
R33,300,R_0603_1608Metric,130.5,-90.0,0.0,bottom
R34,30.1k,R_0603_1608Metric,134.3,-98.7,-90.0,top
R35,30.1k,R_0603_1608Metric,133.65,-105.65,-90.0,top
R36,300,R_0603_1608Metric,130.5,-91.75,0.0,bottom
R37,100k,R_0603_1608Metric,145.5,-72.25,0.0,bottom
R38,10k,R_0603_1608Metric,136.0,-109.65,90.0,top
R39,10k,R_0603_1608Metric,136.0,-116.65,90.0,top
R4,300,R_0603_1608Metric,163.2,-92.825,-90.0,top
R40,50k,R_0603_1608Metric,142.4525,-72.25,0.0,bottom
R41,3.3,R_2512_6332Metric,129.25,-95.0,180.0,bottom
R42,86.6k,R_0603_1608Metric,134.25,-109.65,-90.0,top
