Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"U11","UCS3205","VQFN19_3.0x3.0mm_2EP",139.800000,-110.249992,90.000000,top
"U12","UCS3205","VQFN19_3.0x3.0mm_2EP",139.809447,-117.211568,90.000000,top
"Y1","C13740","OSC-SMD_4P-L3.2-W2.5-BL",136.125000,-69.400000,90.000000,top
"C1","10uF","C_0603_1608Metric",160.135458,-93.355479,0.000000,bottom
"C2","47uF","C_0805_2012Metric",160.356360,-95.220870,0.000000,bottom
"C4","100nF","C_0603_1608Metric",154.660724,-93.328577,90.000000,bottom
"C6","100uF","C_1206_3216Metric",157.525000,-108.760000,0.000000,bottom
"C7","100uF","C_1206_3216Metric",157.525000,-106.250000,0.000000,bottom
"C8","22uF","C_0603_1608Metric",156.750000,-110.750000,0.000000,bottom
"C9","10uF","C_0603_1608Metric",156.725000,-112.500000,0.000000,bottom
"C10","22uF","C_0603_1608Metric",144.062000,-102.500000,180.000000,bottom
"C11","10uF","C_0603_1608Metric",144.062000,-101.000000,180.000000,bottom
"C12","10uF","C_0603_1608Metric",149.350000,-94.450000,90.000000,bottom
"C13","22uF","C_0603_1608Metric",147.586925,-91.275000,-90.000000,bottom
"C14","22uF","C_0603_1608Metric",149.257788,-91.283748,-90.000000,bottom
"C15","2.2uF","C_0603_1608Metric",144.900000,-105.175000,90.000000,bottom
"C16","10nF","C_0603_1608Metric",146.434870,-110.240222,-90.000000,bottom
"C17","47nF","C_0603_1608Metric",151.337000,-110.250000,-90.000000,bottom
"C19","100nF","C_0603_1608Metric",139.696581,-73.525000,90.000000,bottom
"C28","100nF","C_0603_1608Metric",139.750000,-70.475000,-90.000000,bottom
"C38","10uF","C_0603_1608Metric",131.750000,-99.725000,-90.000000,bottom
"C39","10uF","C_0603_1608Metric",131.750000,-106.000000,90.000000,bottom
"C42","100nF","C_0603_1608Metric",130.875505,-83.183670,0.000000,bottom
"C43","22uF","C_0603_1608Metric",160.501049,-112.471187,0.000000,bottom
"C44","100nF","C_0603_1608Metric",160.476049,-114.221187,0.000000,bottom
"C46","10uF","C_0603_1608Metric",131.750000,-110.000000,-90.000000,bottom
"C47","10uF","C_0603_1608Metric",131.750000,-116.000000,90.000000,bottom
"D1","SS32 (MDD)","D_SMA",157.500000,-98.250000,0.000000,bottom
"D3","SS32 (MDD)","D_SMA",150.166371,-98.250000,180.000000,bottom
"D4","SMAJ9.0CA","D_SMA",162.000000,-104.750000,90.000000,bottom
"IC1","TPS259830LNRGER","TPS259830LNRGER",149.000000,-105.500000,180.000000,bottom
"J5","Micro_SD_Card","microSD_HC_Hirose_DM3D-SF",132.500000,-75.000000,-90.000000,bottom
"L1","3.9uH","L_Bourns-SRN6028",153.500000,-88.112500,90.000000,bottom
"Q1","Si7617DN","Vishay_PowerPAK_1212-8_Single",157.990000,-103.065000,0.000000,bottom
"R1","10k","R_0603_1608Metric",143.160627,-59.905825,0.000000,bottom
"R2","1M","R_0603_1608Metric",153.177682,-103.779785,-90.000000,bottom
"R6","42.2k","R_0603_1608Metric",153.177682,-107.029785,-90.000000,bottom
"R7","10k","R_0603_1608Metric",144.900000,-108.250000,90.000000,bottom
"R8","165k","R_0603_1608Metric",153.177682,-110.279785,-90.000000,bottom
"R9","680","R_0603_1608Metric",148.087000,-110.250000,90.000000,bottom
"R10","1M","R_0603_1608Metric",165.500000,-85.500000,0.000000,bottom
"R11","75","R_0603_1608Metric",149.740475,-110.250000,-90.000000,bottom
"R17","1k","R_0603_1608Metric",151.750000,-74.000000,180.000000,bottom
"R18","1k","R_0603_1608Metric",151.750000,-72.050000,180.000000,bottom
"R22","300","R_0603_1608Metric",130.425000,-86.500000,180.000000,bottom
"R25","300","R_0603_1608Metric",130.500000,-88.250000,180.000000,bottom
"R26","30k","R_0603_1608Metric",151.550000,-115.000000,90.000000,bottom
"R33","300","R_0603_1608Metric",130.500000,-90.000000,180.000000,bottom
"R36","300","R_0603_1608Metric",130.500000,-91.750000,180.000000,bottom
"R37","100k","R_0603_1608Metric",145.500000,-72.250000,180.000000,bottom
"R40","50k","R_0603_1608Metric",142.452500,-72.250000,180.000000,bottom
"R41","3.3","R_2512_6332Metric",129.250000,-95.000000,0.000000,bottom
"R46","300","R_0603_1608Metric",151.000000,-59.650000,90.000000,bottom
"R51","3.3","R_2512_6332Metric",129.000000,-121.250000,0.000000,bottom
"R52","300","R_0603_1608Metric",152.750000,-59.612500,90.000000,bottom
"R55","300","R_0603_1608Metric",154.500000,-59.650000,90.000000,bottom
"R56","1k","R_0603_1608Metric",152.250000,-67.250000,90.000000,bottom
"U1","TVS0500DRV","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",160.387500,-91.250000,180.000000,bottom
"U2","AP63203WU","TSOT-23-6",152.000000,-93.887500,90.000000,bottom
"U7","W25Q128JVS","SOIC-8_5.3x5.3mm_P1.27mm",145.250000,-76.000000,0.000000,bottom
"U8","DRV8871DDA","Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias",156.626049,-117.771187,0.000000,bottom

